# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.65,3.3,180.0,0,3.0,0,0.0,0.0,0.0
 0.08921908797247463,5.63805993151204,3.3,180.0,0.26765726391742395,3.0000000000000004,0,0.0,0.0,0.0
 0.1258594849573231,5.626239085069416,3.3,180.0,0.37757845487196934,2.999999999999999,0,0.0,0.0,0.0
 0.15376063821401886,5.614536499204027,3.3,180.0,0.46128191464205665,3.000000000000001,0,0.0,0.0,0.0
 0.17710408907803604,5.602951212447759,3.3,180.0,0.5313122672341082,3.0,0,0.0,0.0,0.0
 0.19751411201479857,5.591482263332509,3.3,180.0,0.5925423360443958,3.0,0,0.0,0.0,0.0
 0.21582602501371914,5.580128690390167,3.3,180.0,0.6474780750411575,3.0000000000000013,0,0.0,0.0,0.0
 0.2325374060911118,5.568889532152626,3.3,180.0,0.6976122182733355,3.000000000000005,0,0.0,0.0,0.0
 0.247973349170458,5.5577638271517795,3.3,180.0,0.7439200475113741,2.9999999999999964,0,0.0,0.0,0.0
 0.26236029435426045,5.546750613919519,3.3,180.0,0.7870808830627815,3.0,0,0.0,0.0,0.0
 0.2758635762017934,5.535848930987736,3.3,180.0,0.8275907286053803,2.999999999999996,0,0.0,0.0,0.0
 0.28860836568110304,5.525057816888324,3.3,180.0,0.8658250970433091,2.9999999999999956,0,0.0,0.0,0.0
 0.3006921901732999,5.514376310153176,3.3,180.0,0.9020765705198998,3.0000000000000044,0,0.0,0.0,0.0
 0.31219283643907847,5.5038034493141845,3.3,180.0,0.9365785093172355,3.000000000000005,0,0.0,0.0,0.0
 0.3231735623435806,5.49333827290324,3.3,180.0,0.9695206870307419,3.000000000000005,0,0.0,0.0,0.0
 0.33368665995487773,5.482979819452237,3.3,180.0,1.0010599798646334,3.0,0,0.0,0.0,0.0
 0.3437759662987272,5.472727127493065,3.3,180.0,1.0313278988961816,2.9999999999999836,0,0.0,0.0,0.0
 0.3534786786991826,5.46257923555762,3.3,180.0,1.0604360360975478,3.0,0,0.0,0.0,0.0
 0.3628266967595846,5.452535182177793,3.3,180.0,1.0884800902787537,2.9999999999999822,0,0.0,0.0,0.0
 0.3718476337735879,5.442594005885476,3.3,180.0,1.1155429013207636,3.0,0,0.0,0.0,0.0
 0.38056559205778556,5.432754745212561,3.3,180.0,1.1416967761733565,3.0,0,0.0,0.0,0.0
 0.38900176632765876,5.423016438690943,3.3,180.0,1.167005298982976,2.9999999999999867,0,0.0,0.0,0.0
 0.3971749196072088,5.413378124852511,3.3,180.0,1.191524758821626,2.9999999999999862,0,0.0,0.0,0.0
 0.4051017631582134,5.4038388422291606,3.3,180.0,1.21530528947464,3.000000000000014,0,0.0,0.0,0.0
 0.41279726311045245,5.39439762935278,3.3,180.0,1.2383917893313572,3.000000000000014,0,0.0,0.0,0.0
 0.4202748903949521,5.385053524755267,3.3,180.0,1.260824671184856,3.0,0,0.0,0.0,0.0
 0.4275468263098911,5.37580556696851,3.3,180.0,1.282640478929673,2.999999999999985,0,0.0,0.0,0.0
 0.4346241329973885,5.366652794524403,3.3,180.0,1.3038723989921652,3.0,0,0.0,0.0,0.0
 0.44151689589804133,5.357594245954838,3.3,180.0,1.3245506876941238,3.000000000000008,0,0.0,0.0,0.0
 0.44823434362566217,5.348628959791708,3.3,180.0,1.3447030308769863,3.0,0,0.0,0.0,0.0
 0.4547849494967165,5.339755974566904,3.3,180.0,1.3643548484901493,3.0000000000000084,0,0.0,0.0,0.0
 0.4611765180403128,5.33097432881232,3.3,180.0,1.3835295541209383,3.000000000000009,0,0.0,0.0,0.0
 0.4674162591239582,5.3222830610598475,3.3,180.0,1.4022487773718744,2.999999999999991,0,0.0,0.0,0.0
 0.4735108518000545,5.313681209841381,3.3,180.0,1.420532555400163,2.9999999999999725,0,0.0,0.0,0.0
 0.4794664995674468,5.30516781368881,3.3,180.0,1.43839949870234,3.0,0,0.0,0.0,0.0
 0.48528897842142993,5.296741911134028,3.3,180.0,1.4558669352642895,3.0,0,0.0,0.0,0.0
 0.49098367881296784,5.288402540708927,3.3,180.0,1.4729510364389031,2.9999999999999902,0,0.0,0.0,0.0
 0.49655564243738065,5.280148740945401,3.3,180.0,1.4896669273121415,2.99999999999998,0,0.0,0.0,0.0
 0.5020095946125994,5.271979550375341,3.3,180.0,1.5060287838377977,2.99999999999999,0,0.0,0.0,0.0
 0.5073499728782626,5.26389400753064,3.3,180.0,1.5220499186347871,3.0,0,0.0,0.0,0.0
 0.5125809523426909,5.2558911509431905,3.3,180.0,1.537742857028072,3.0,0,0.0,0.0,0.0
 0.5177064682199215,5.2479700191448835,3.3,180.0,1.5531194046597638,2.9999999999999782,0,0.0,0.0,0.0
 0.5227302359295132,5.240129650667614,3.3,180.0,1.5681907077885389,3.0,0,0.0,0.0,0.0
 0.5276557690747053,5.232369084043272,3.3,180.0,1.5829673072241155,3.0000000000000226,0,0.0,0.0,0.0
 0.5324863955672158,5.224687357803752,3.3,180.0,1.5974591867016468,3.0,0,0.0,0.0,0.0
 0.5372252721277205,5.217083510480945,3.3,180.0,1.6116758163831613,3.000000000000047,0,0.0,0.0,0.0
 0.5418753973582587,5.209556580606744,3.3,180.0,1.6256261920747759,3.0,0,0.0,0.0,0.0
 0.546439623555344,5.202105606713041,3.3,180.0,1.6393188706660318,3.0,0,0.0,0.0,0.0
