# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0
 0.15517033680726877,1.0120389167124406,1.0,0.0,0.1551703368072688,1.0000000000000002,0,0.0,0.0,0.0
 0.2197967184004526,1.024155298709804,1.0,0.0,0.2197967184004526,0.9999999999999996,0,0.0,0.0,0.0
 0.2696241598304999,1.0363485937821515,1.0,0.0,0.2696241598305,1.000000000000001,0,0.0,0.0,0.0
 0.31182767587096694,1.0486182497195444,1.0,0.0,0.311827675870967,1.0,0,0.0,0.0,0.0
 0.3491810828554301,1.0609637143120454,1.0,0.0,0.34918108285543015,1.0,0,0.0,0.0,0.0
 0.38310425565298867,1.0733844353497153,1.0,0.0,0.3831042556529888,1.0000000000000016,0,0.0,0.0,0.0
 0.41443904406466303,1.0858798606226159,1.0,0.0,0.41443904406466314,1.0,0,0.0,0.0,0.0
 0.4437328879423051,1.0984494379208092,1.0,0.0,0.44373288794230525,1.000000000000002,0,0.0,0.0,0.0
 0.4713652830541441,1.1110926150343567,1.0,0.0,0.4713652830541443,1.000000000000002,0,0.0,0.0,0.0
 0.49761197685208475,1.12380883975332,1.0,0.0,0.49761197685208497,1.0,0,0.0,0.0,0.0
 0.5226807053407669,1.136597559867761,1.0,0.0,0.5226807053407672,1.0,0,0.0,0.0,0.0
 0.5467325180885818,1.1494582231677408,1.0,0.0,0.546732518088582,1.0,0,0.0,0.0,0.0
 0.5698952139530947,1.162390277443322,1.0,0.0,0.569895213953095,1.0,0,0.0,0.0,0.0
 0.5922721848686892,1.1753931704845655,1.0,0.0,0.5922721848686894,1.0,0,0.0,0.0,0.0
 0.6139484507375729,1.1884663500815331,1.0,0.0,0.6139484507375731,1.0,0,0.0,0.0,0.0
 0.6349949039548056,1.2016092640242866,1.0,0.0,0.6349949039548058,1.0,0,0.0,0.0,0.0
 0.6554713725295521,1.2148213601028877,1.0,0.0,0.6554713725295525,1.0000000000000053,0,0.0,0.0,0.0
 0.6754288802048631,1.228102086107398,1.0,0.0,0.6754288802048635,1.0,0,0.0,0.0,0.0
 0.6949113466160686,1.241450889827879,1.0,0.0,0.6949113466160689,1.0,0,0.0,0.0,0.0
 0.7139568881303585,1.2548672190543928,1.0,0.0,0.7139568881303587,0.9999999999999941,0,0.0,0.0,0.0
 0.732598828250497,1.2683505215770008,1.0,0.0,0.7325988282504973,1.0,0,0.0,0.0,0.0
 0.7508664930408929,1.2819002451857648,1.0,0.0,0.7508664930408931,1.0,0,0.0,0.0,0.0
 0.7687858449148841,1.2955158376707463,1.0,0.0,0.7687858449148843,1.0,0,0.0,0.0,0.0
 0.7863799931610758,1.309196746822007,1.0,0.0,0.786379993161076,1.0,0,0.0,0.0,0.0
 0.8036696092669031,1.3229424204296085,1.0,0.0,0.8036696092669033,1.0,0,0.0,0.0,0.0
 0.8206732678522098,1.3367523062836126,1.0,0.0,0.8206732678522101,1.0,0,0.0,0.0,0.0
 0.8374077288562377,1.3506258521740813,1.0,0.0,0.837407728856238,1.0000000000000067,0,0.0,0.0,0.0
 0.8538881728787152,1.3645625058910755,1.0,0.0,0.8538881728787155,1.0,0,0.0,0.0,0.0
 0.8701283988293422,1.3785617152246576,1.0,0.0,0.8701283988293426,1.0,0,0.0,0.0,0.0
 0.8861409909996132,1.3926229279648885,1.0,0.0,0.8861409909996135,1.0,0,0.0,0.0,0.0
 0.9019374611377782,1.4067455919018308,1.0,0.0,0.9019374611377785,1.0,0,0.0,0.0,0.0
 0.9175283699434534,1.4209291548255456,1.0,0.0,0.9175283699434538,1.0,0,0.0,0.0,0.0
 0.9329234315056028,1.4351730645260947,1.0,0.0,0.932923431505603,0.9999999999999928,0,0.0,0.0,0.0
 0.9481316035166631,1.4494767687935397,1.0,0.0,0.9481316035166634,1.0,0,0.0,0.0,0.0
 0.9631611655563589,1.4638397154179421,1.0,0.0,0.9631611655563591,1.0,0,0.0,0.0,0.0
 0.9780197873145141,1.478261352189364,1.0,0.0,0.9780197873145143,1.0,0,0.0,0.0,0.0
 0.9927145882859448,1.4927411268978668,1.0,0.0,0.9927145882859452,1.0000000000000075,0,0.0,0.0,0.0
 1.0072521902021478,1.507278487333512,1.0,0.0,1.007252190202148,0.9999999999999923,0,0.0,0.0,0.0
 1.0216387632488908,1.5218728812863618,1.0,0.0,1.021638763248891,1.0,0,0.0,0.0,0.0
 1.035880066944506,1.5365237565464773,1.0,0.0,1.0358800669445063,1.0,0,0.0,0.0,0.0
 1.0499814864119466,1.5512305609039205,1.0,0.0,1.0499814864119468,1.0,0,0.0,0.0,0.0
 1.0639480646617607,1.5659927421487532,1.0,0.0,1.0639480646617607,0.9999999999999841,0,0.0,0.0,0.0
 1.077784531407866,1.5808097480710368,1.0,0.0,1.077784531407866,1.0,0,0.0,0.0,0.0
 1.0914953288592975,1.595681026460833,1.0,0.0,1.0914953288592975,1.0,0,0.0,0.0,0.0
 1.1050846348657675,1.6106060251082033,1.0,0.0,1.1050846348657675,1.0,0,0.0,0.0,0.0
 1.1185563837404082,1.6255841918032097,1.0,0.0,1.1185563837404082,1.0,0,0.0,0.0,0.0
 1.131914285037444,1.640614974335914,1.0,0.0,1.131914285037444,1.0,0,0.0,0.0,0.0
 1.145161840524192,1.6556978204963775,1.0,0.0,1.145161840524192,1.0,0,0.0,0.0,0.0
